yourlist:M202205245BF3C56A578D7D6DFD1FC81EE5DA77304E151FU	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
APBB2_HUMAN	Q92870	APBB2_HUMAN	reviewed	Amyloid beta precursor protein binding family B member 2 (Amyloid-beta (A4) precursor protein-binding family B member 2) (Protein Fe65-like 1)	APBB2 FE65L FE65L1	Homo sapiens (Human)	758
APBB3_HUMAN	O95704	APBB3_HUMAN	reviewed	Amyloid-beta A4 precursor protein-binding family B member 3 (Protein Fe65-like 2) (Fe65L2)	APBB3 FE65L2	Homo sapiens (Human)	486
APC_HUMAN	P25054	APC_HUMAN	reviewed	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843
APCD1_HUMAN	Q8J025	APCD1_HUMAN	reviewed	Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein)	APCDD1 DRAPC1 FP7019	Homo sapiens (Human)	514
APCDL_HUMAN	Q8NCL9	APCDL_HUMAN	reviewed	Protein APCDD1-like (Adenomatosis polyposis coli down-regulated 1 protein-like)	APCDD1L	Homo sapiens (Human)	501
SAMP_HUMAN	P02743	SAMP_HUMAN	reviewed	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	APCS PTX2	Homo sapiens (Human)	223
ACPH_HUMAN	P13798	ACPH_HUMAN	reviewed	Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH)	APEH D3F15S2 D3S48E DNF15S2	Homo sapiens (Human)	732
ELA_HUMAN	P0DMC3	ELA_HUMAN	reviewed	Apelin receptor early endogenous ligand (Protein Elabela) (ELA) (Protein Toddler)	APELA ELA TDL	Homo sapiens (Human)	54
APEX1_HUMAN	P27695	APEX1_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318
APEX2_HUMAN	Q9UBZ4	APEX2_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.-.-) (AP endonuclease XTH2) (APEX nuclease 2) (APEX nuclease-like 2) (Apurinic-apyrimidinic endonuclease 2) (AP endonuclease 2)	APEX2 APE2 APEXL2 XTH2	Homo sapiens (Human)	518
APH1A_HUMAN	Q96BI3	APH1A_HUMAN	reviewed	Gamma-secretase subunit APH-1A (APH-1a) (Aph-1alpha) (Presenilin-stabilization factor)	APH1A PSF CGI-78 UNQ579/PRO1141	Homo sapiens (Human)	265
APH1B_HUMAN	Q8WW43	APH1B_HUMAN	reviewed	Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like)	APH1B PSFL UNQ688/PRO1328	Homo sapiens (Human)	257
API5_HUMAN	Q9BZZ5	API5_HUMAN	reviewed	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	API5 MIG8	Homo sapiens (Human)	524
MTNB_HUMAN	Q96GX9	MTNB_HUMAN	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109) (APAF1-interacting protein) (hAPIP)	APIP CGI-29	Homo sapiens (Human)	242
APLF_HUMAN	Q8IW19	APLF_HUMAN	reviewed	Aprataxin and PNK-like factor (EC 3.1.-.-) (Apurinic-apyrimidinic endonuclease APLF) (PNK and APTX-like FHA domain-containing protein) (XRCC1-interacting protein 1)	APLF C2orf13 PALF XIP1	Homo sapiens (Human)	511
APEL_HUMAN	Q9ULZ1	APEL_HUMAN	reviewed	Apelin (APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13]	APLN APEL	Homo sapiens (Human)	77
APJ_HUMAN	P35414	APJ_HUMAN	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	APLNR AGTRL1 APJ	Homo sapiens (Human)	380
APLP1_HUMAN	P51693	APLP1_HUMAN	reviewed	Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	APLP1	Homo sapiens (Human)	650
APLP2_HUMAN	Q06481	APLP2_HUMAN	reviewed	Amyloid beta precursor like protein 2 (APPH) (Amyloid beta (A4) precursor-like protein 2) (Amyloid protein homolog) (Amyloid-like protein 2) (APLP-2) (CDEI box-binding protein) (CDEBP) (Sperm membrane protein YWK-II)	APLP2 APPL2	Homo sapiens (Human)	763
APMAP_HUMAN	Q9HDC9	APMAP_HUMAN	reviewed	Adipocyte plasma membrane-associated protein (Protein BSCv)	APMAP C20orf3 UNQ1869/PRO4305	Homo sapiens (Human)	416
APOA1_HUMAN	P02647	APOA1_HUMAN	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1	Homo sapiens (Human)	267
APOA2_HUMAN	P02652	APOA2_HUMAN	reviewed	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	APOA2	Homo sapiens (Human)	100
APOA4_HUMAN	P06727	APOA4_HUMAN	reviewed	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	APOA4	Homo sapiens (Human)	396
APOA5_HUMAN	Q6Q788	APOA5_HUMAN	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	APOA5 RAP3 UNQ411/PRO773	Homo sapiens (Human)	366
APOB_HUMAN	P04114	APOB_HUMAN	reviewed	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB	Homo sapiens (Human)	4563
ABEC1_HUMAN	P41238	ABEC1_HUMAN	reviewed	C->U-editing enzyme APOBEC-1 (EC 3.5.4.36) (Apolipoprotein B mRNA-editing enzyme 1) (HEPR) (mRNA(cytosine(6666)) deaminase 1)	APOBEC1	Homo sapiens (Human)	236
ABEC2_HUMAN	Q9Y235	ABEC2_HUMAN	reviewed	C->U-editing enzyme APOBEC-2 (EC 3.5.4.36) (mRNA(cytosine(6666)) deaminase 2)	APOBEC2	Homo sapiens (Human)	224
ABC3A_HUMAN	P31941	ABC3A_HUMAN	reviewed	DNA dC->dU-editing enzyme APOBEC-3A (A3A) (EC 3.5.4.38) (Phorbolin-1)	APOBEC3A	Homo sapiens (Human)	199
ABEC4_HUMAN	Q8WW27	ABEC4_HUMAN	reviewed	Putative C->U-editing enzyme APOBEC-4 (EC 3.5.4.-) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 4)	APOBEC4 C1orf169	Homo sapiens (Human)	367
APOBR_HUMAN	Q0VD83	APOBR_HUMAN	reviewed	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	APOBR APOB48R	Homo sapiens (Human)	1097
APOC1_HUMAN	P02654	APOC1_HUMAN	reviewed	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	APOC1	Homo sapiens (Human)	83
APOC2_HUMAN	P02655	APOC2_HUMAN	reviewed	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	APOC2 APC2	Homo sapiens (Human)	101
APOC3_HUMAN	P02656	APOC3_HUMAN	reviewed	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	APOC3	Homo sapiens (Human)	99
APOC4_HUMAN	P55056	APOC4_HUMAN	reviewed	Apolipoprotein C-IV (Apo-CIV) (ApoC-IV) (Apolipoprotein C4)	APOC4	Homo sapiens (Human)	127
APOD_HUMAN	P05090	APOD_HUMAN	reviewed	Apolipoprotein D (Apo-D) (ApoD)	APOD	Homo sapiens (Human)	189
APOE_HUMAN	P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
APOF_HUMAN	Q13790	APOF_HUMAN	reviewed	Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP)	APOF	Homo sapiens (Human)	326
APOH_HUMAN	P02749	APOH_HUMAN	reviewed	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH B2G1	Homo sapiens (Human)	345
APOL5_HUMAN	Q9BWW9	APOL5_HUMAN	reviewed	Apolipoprotein L5 (Apolipoprotein L-V) (ApoL-V)	APOL5	Homo sapiens (Human)	433
APOL6_HUMAN	Q9BWW8	APOL6_HUMAN	reviewed	Apolipoprotein L6 (Apolipoprotein L-VI) (ApoL-VI)	APOL6 UNQ3095/PRO21341	Homo sapiens (Human)	343
APLD1_HUMAN	Q96LR9	APLD1_HUMAN	reviewed	Apolipoprotein L domain-containing protein 1 (Vascular early response gene protein)	APOLD1 VERGE	Homo sapiens (Human)	279
APOM_HUMAN	O95445	APOM_HUMAN	reviewed	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	APOM G3A NG20 HSPC336	Homo sapiens (Human)	188
MIC26_HUMAN	Q9BUR5	MIC26_HUMAN	reviewed	MICOS complex subunit MIC26 (Apolipoprotein O) (MICOS complex subunit MIC23) (Protein FAM121B)	APOO FAM121B MIC23 MIC26 My025 UNQ1866/PRO4302	Homo sapiens (Human)	198
MIC27_HUMAN	Q6UXV4	MIC27_HUMAN	reviewed	MICOS complex subunit MIC27 (Apolipoprotein O-like) (Protein FAM121A)	APOOL CXorf33 FAM121A MIC27 UNQ8193/PRO23204	Homo sapiens (Human)	268
A4_HUMAN	P05067	A4_HUMAN	reviewed	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
APBP2_HUMAN	Q92624	APBP2_HUMAN	reviewed	Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2) (Protein interacting with APP tail 1)	APPBP2 KIAA0228 PAT1	Homo sapiens (Human)	585
DP13A_HUMAN	Q9UKG1	DP13A_HUMAN	reviewed	DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)	APPL1 APPL DIP13A KIAA1428	Homo sapiens (Human)	709
DP13B_HUMAN	Q8NEU8	DP13B_HUMAN	reviewed	DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)	APPL2 DIP13B	Homo sapiens (Human)	664
APT_HUMAN	P07741	APT_HUMAN	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	APRT	Homo sapiens (Human)	180
APTX_HUMAN	Q7Z2E3	APTX_HUMAN	reviewed	Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT)	APTX AXA1	Homo sapiens (Human)	356
AQP1_HUMAN	P29972	AQP1_HUMAN	reviewed	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	Homo sapiens (Human)	269
AQP10_HUMAN	Q96PS8	AQP10_HUMAN	reviewed	Aquaporin-10 (AQP-10) (Aquaglyceroporin-10) (Small intestine aquaporin)	AQP10	Homo sapiens (Human)	301
AQP11_HUMAN	Q8NBQ7	AQP11_HUMAN	reviewed	Aquaporin-11 (AQP-11)	AQP11 AQPX1 PSEC0027	Homo sapiens (Human)	271
AQ12B_HUMAN	A6NM10	AQ12B_HUMAN	reviewed	Aquaporin-12B (AQP-12B)	AQP12B	Homo sapiens (Human)	295
AQP2_HUMAN	P41181	AQP2_HUMAN	reviewed	Aquaporin-2 (AQP-2) (ADH water channel) (Aquaporin-CD) (AQP-CD) (Collecting duct water channel protein) (WCH-CD) (Water channel protein for renal collecting duct)	AQP2	Homo sapiens (Human)	271
AQP3_HUMAN	Q92482	AQP3_HUMAN	reviewed	Aquaporin-3 (AQP-3) (Aquaglyceroporin-3)	AQP3	Homo sapiens (Human)	292
AQP4_HUMAN	P55087	AQP4_HUMAN	reviewed	Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4)	AQP4	Homo sapiens (Human)	323
AQP5_HUMAN	P55064	AQP5_HUMAN	reviewed	Aquaporin-5 (AQP-5)	AQP5	Homo sapiens (Human)	265
AQP6_HUMAN	Q13520	AQP6_HUMAN	reviewed	Aquaporin-6 (AQP-6) (Aquaporin-2-like) (Kidney-specific aquaporin) (hKID)	AQP6 AQP2L	Homo sapiens (Human)	282
AQP7_HUMAN	O14520	AQP7_HUMAN	reviewed	Aquaporin-7 (AQP-7) (Aquaglyceroporin-7) (Aquaporin adipose) (AQPap) (Aquaporin-7-like)	AQP7 AQP7L AQP9	Homo sapiens (Human)	342
AQP8_HUMAN	O94778	AQP8_HUMAN	reviewed	Aquaporin-8 (AQP-8)	AQP8	Homo sapiens (Human)	261
AQP9_HUMAN	O43315	AQP9_HUMAN	reviewed	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)	AQP9 SSC1	Homo sapiens (Human)	295
AQR_HUMAN	O60306	AQR_HUMAN	reviewed	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	AQR KIAA0560	Homo sapiens (Human)	1485
ANDR_HUMAN	P10275	ANDR_HUMAN	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR DHTR NR3C4	Homo sapiens (Human)	920
ARAF_HUMAN	P10398	ARAF_HUMAN	reviewed	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	606
ARAP1_HUMAN	Q96P48	ARAP1_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)	ARAP1 CENTD2 KIAA0782	Homo sapiens (Human)	1450
ARAP2_HUMAN	Q8WZ64	ARAP2_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2 (Centaurin-delta-1) (Cnt-d1) (Protein PARX)	ARAP2 CENTD1 KIAA0580	Homo sapiens (Human)	1704
ARAP3_HUMAN	Q8WWN8	ARAP3_HUMAN	reviewed	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)	ARAP3 CENTD3	Homo sapiens (Human)	1544
ARC_HUMAN	Q7LC44	ARC_HUMAN	reviewed	Activity-regulated cytoskeleton-associated protein (hArc) (Activity-regulated gene 3.1 protein homolog) (ARC/ARG3.1) (Arg3.1)	ARC KIAA0278	Homo sapiens (Human)	396
COPD_HUMAN	P48444	COPD_HUMAN	reviewed	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	ARCN1 COPD	Homo sapiens (Human)	511
AREG_HUMAN	P15514	AREG_HUMAN	reviewed	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG AREGB SDGF	Homo sapiens (Human)	252
AREL1_HUMAN	O15033	AREL1_HUMAN	reviewed	Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1)	AREL1 KIAA0317	Homo sapiens (Human)	823
ARF1_HUMAN	P84077	ARF1_HUMAN	reviewed	ADP-ribosylation factor 1	ARF1	Homo sapiens (Human)	181
ARF3_HUMAN	P61204	ARF3_HUMAN	reviewed	ADP-ribosylation factor 3	ARF3	Homo sapiens (Human)	181
ARF4_HUMAN	P18085	ARF4_HUMAN	reviewed	ADP-ribosylation factor 4	ARF4 ARF2	Homo sapiens (Human)	180
ARF5_HUMAN	P84085	ARF5_HUMAN	reviewed	ADP-ribosylation factor 5	ARF5	Homo sapiens (Human)	180
ARF6_HUMAN	P62330	ARF6_HUMAN	reviewed	ADP-ribosylation factor 6	ARF6	Homo sapiens (Human)	175
ARFG1_HUMAN	Q8N6T3	ARFG1_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	ARFGAP1 ARF1GAP	Homo sapiens (Human)	406
ARFG2_HUMAN	Q8N6H7	ARFG2_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289)	ARFGAP2 ZNF289 Nbla10535	Homo sapiens (Human)	521
ARFG3_HUMAN	Q9NP61	ARFG3_HUMAN	reviewed	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3)	ARFGAP3 ARFGAP1	Homo sapiens (Human)	516
BIG1_HUMAN	Q9Y6D6	BIG1_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1) (p200 ARF guanine nucleotide exchange factor) (p200 ARF-GEP1)	ARFGEF1 ARFGEP1 BIG1	Homo sapiens (Human)	1849
BIG2_HUMAN	Q9Y6D5	BIG2_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	ARFGEF2 ARFGEP2 BIG2	Homo sapiens (Human)	1785
BIG3_HUMAN	Q5TH69	BIG3_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3)	ARFGEF3 BIG3 C6orf92 KIAA1244	Homo sapiens (Human)	2177
ARFP1_HUMAN	P53367	ARFP1_HUMAN	reviewed	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	Homo sapiens (Human)	373
ARFP2_HUMAN	P53365	ARFP2_HUMAN	reviewed	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (POR1)	ARFIP2 POR1	Homo sapiens (Human)	341
ARFRP_HUMAN	Q13795	ARFRP_HUMAN	reviewed	ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)	ARFRP1 ARP1	Homo sapiens (Human)	201
ARGI1_HUMAN	P05089	ARGI1_HUMAN	reviewed	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	ARG1	Homo sapiens (Human)	322
ARGL1_HUMAN	Q9NWB6	ARGL1_HUMAN	reviewed	Arginine and glutamate-rich protein 1	ARGLU1	Homo sapiens (Human)	273
RHG01_HUMAN	Q07960	RHG01_HUMAN	reviewed	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	Homo sapiens (Human)	439
RHG10_HUMAN	A1A4S6	RHG10_HUMAN	reviewed	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
RHGBA_HUMAN	Q6P4F7	RHGBA_HUMAN	reviewed	Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)	ARHGAP11A KIAA0013	Homo sapiens (Human)	1023
RHG12_HUMAN	Q8IWW6	RHG12_HUMAN	reviewed	Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12)	ARHGAP12	Homo sapiens (Human)	846
RHG15_HUMAN	Q53QZ3	RHG15_HUMAN	reviewed	Rho GTPase-activating protein 15 (ArhGAP15) (Rho-type GTPase-activating protein 15)	ARHGAP15 BM-024 BM-030 BM-046	Homo sapiens (Human)	475
RHG17_HUMAN	Q68EM7	RHG17_HUMAN	reviewed	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	ARHGAP17 RICH1 MSTP066 MSTP110	Homo sapiens (Human)	881
RHG18_HUMAN	Q8N392	RHG18_HUMAN	reviewed	Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18)	ARHGAP18	Homo sapiens (Human)	663
RHG19_HUMAN	Q14CB8	RHG19_HUMAN	reviewed	Rho GTPase-activating protein 19 (Rho-type GTPase-activating protein 19)	ARHGAP19	Homo sapiens (Human)	494
RHG20_HUMAN	Q9P2F6	RHG20_HUMAN	reviewed	Rho GTPase-activating protein 20 (Rho-type GTPase-activating protein 20)	ARHGAP20 KIAA1391	Homo sapiens (Human)	1191
RHG21_HUMAN	Q5T5U3	RHG21_HUMAN	reviewed	Rho GTPase-activating protein 21 (Rho GTPase-activating protein 10) (Rho-type GTPase-activating protein 21)	ARHGAP21 ARHGAP10 KIAA1424	Homo sapiens (Human)	1958
RHG22_HUMAN	Q7Z5H3	RHG22_HUMAN	reviewed	Rho GTPase-activating protein 22 (Rho-type GTPase-activating protein 22)	ARHGAP22 RHOGAP2	Homo sapiens (Human)	698
RHG23_HUMAN	Q9P227	RHG23_HUMAN	reviewed	Rho GTPase-activating protein 23 (Rho-type GTPase-activating protein 23)	ARHGAP23 KIAA1501	Homo sapiens (Human)	1491
RHG24_HUMAN	Q8N264	RHG24_HUMAN	reviewed	Rho GTPase-activating protein 24 (Filamin-A-associated RhoGAP) (FilGAP) (RAC1- and CDC42-specific GTPase-activating protein of 72 kDa) (RC-GAP72) (Rho-type GTPase-activating protein 24) (RhoGAP of 73 kDa) (Sarcoma antigen NY-SAR-88) (p73RhoGAP)	ARHGAP24 FILGAP	Homo sapiens (Human)	748
RHG25_HUMAN	P42331	RHG25_HUMAN	reviewed	Rho GTPase-activating protein 25 (Rho-type GTPase-activating protein 25)	ARHGAP25 KIAA0053	Homo sapiens (Human)	645
RHG26_HUMAN	Q9UNA1	RHG26_HUMAN	reviewed	Rho GTPase-activating protein 26 (GTPase regulator associated with focal adhesion kinase) (Oligophrenin-1-like protein) (Rho-type GTPase-activating protein 26)	ARHGAP26 GRAF KIAA0621 OPHN1L	Homo sapiens (Human)	814
RHG27_HUMAN	Q6ZUM4	RHG27_HUMAN	reviewed	Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27) (SH3 domain-containing protein 20)	ARHGAP27 CAMGAP1 SH3D20 PP905	Homo sapiens (Human)	889
RHG28_HUMAN	Q9P2N2	RHG28_HUMAN	reviewed	Rho GTPase-activating protein 28 (Rho-type GTPase-activating protein 28)	ARHGAP28 KIAA1314	Homo sapiens (Human)	729
RHG29_HUMAN	Q52LW3	RHG29_HUMAN	reviewed	Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29)	ARHGAP29 PARG1	Homo sapiens (Human)	1261
RHG30_HUMAN	Q7Z6I6	RHG30_HUMAN	reviewed	Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30)	ARHGAP30	Homo sapiens (Human)	1101
RHG31_HUMAN	Q2M1Z3	RHG31_HUMAN	reviewed	Rho GTPase-activating protein 31 (Cdc42 GTPase-activating protein)	ARHGAP31 CDGAP KIAA1204	Homo sapiens (Human)	1444
RHG32_HUMAN	A7KAX9	RHG32_HUMAN	reviewed	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087
RHG33_HUMAN	O14559	RHG33_HUMAN	reviewed	Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein)	ARHGAP33 SNX26 TCGAP	Homo sapiens (Human)	1287
RHG35_HUMAN	Q9NRY4	RHG35_HUMAN	reviewed	Rho GTPase-activating protein 35 (Glucocorticoid receptor DNA-binding factor 1) (Glucocorticoid receptor repression factor 1) (GRF-1) (Rho GAP p190A) (p190-A)	ARHGAP35 GRF1 GRLF1 KIAA1722 P190A p190ARHOGAP	Homo sapiens (Human)	1499
RHG36_HUMAN	Q6ZRI8	RHG36_HUMAN	reviewed	Rho GTPase-activating protein 36	ARHGAP36	Homo sapiens (Human)	547
RHG39_HUMAN	Q9C0H5	RHG39_HUMAN	reviewed	Rho GTPase-activating protein 39	ARHGAP39 KIAA1688	Homo sapiens (Human)	1083
RHG04_HUMAN	P98171	RHG04_HUMAN	reviewed	Rho GTPase-activating protein 4 (Rho-GAP hematopoietic protein C1) (Rho-type GTPase-activating protein 4) (p115)	ARHGAP4 KIAA0131 RGC1 RHOGAP4	Homo sapiens (Human)	946
RHG42_HUMAN	A6NI28	RHG42_HUMAN	reviewed	Rho GTPase-activating protein 42 (Rho GTPase-activating protein 10-like) (Rho-type GTPase-activating protein 42)	ARHGAP42 GRAF3 TMEM133	Homo sapiens (Human)	874
RHG44_HUMAN	Q17R89	RHG44_HUMAN	reviewed	Rho GTPase-activating protein 44 (NPC-A-10) (Rho-type GTPase-activating protein RICH2) (RhoGAP interacting with CIP4 homologs protein 2) (RICH-2)	ARHGAP44 KIAA0672 RICH2	Homo sapiens (Human)	818
HMHA1_HUMAN	Q92619	HMHA1_HUMAN	reviewed	Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)]	ARHGAP45 HMHA1 KIAA0223	Homo sapiens (Human)	1136
RHG05_HUMAN	Q13017	RHG05_HUMAN	reviewed	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)	ARHGAP5 RHOGAP5	Homo sapiens (Human)	1502
